Period,Geography,Product,Competition_Total_Total_Total,Price_Total_Total_Total,Promotion_Total_Total_Total,Sales_Total_Total_Total,Stock_Total_Total_Total,media_var_0_Total_Total_Total,media_var_1_Total_Total_Total,media_var_10_Total_Total_Total,media_var_11_Total_Total_Total,media_var_12_Total_Total_Total,media_var_13_Total_Total_Total,media_var_14_Total_Total_Total,media_var_2_Total_Total_Total,media_var_3_Total_Total_Total,media_var_4_Total_Total_Total,media_var_5_Total_Total_Total,media_var_6_Total_Total_Total,media_var_7_Total_Total_Total,media_var_8_Total_Total_Total,media_var_9_Total_Total_Total
2020-04-06,AU,Desktops,-0.6689546926645792,0.1748875251349981,1.0419510512703636,0.0515552854955728,14.0,2.11632031806809,-0.2790955283691352,0.6569681826338876,-0.730643598262369,0.5493780473982914,1.1465306847890622,-0.400975186591297,-0.3677493995405676,0.452777468515962,1.38234788390066,0.925085062452338,1.5094566487713676,-0.5838348459508654,-0.4300050857268813,-0.3425466291141243
2020-04-06,AU,Laptops,-0.4841318219331197,0.7116127913561989,0.1327780158243964,-0.908708464471675,8.0,17.10472152667953,-0.8730946019003196,-0.4353374228839881,-0.4570114839648845,1.13186296937895,-0.5444665299864945,-0.2330088994812359,0.2235898056705873,1.022757551743378,0.5075751858123919,-0.2084819486422703,0.91045828505123,-0.7782022715647736,-1.4439509075018897,-1.2674221542234347
2020-04-06,AU,Phones,-0.5305599341372049,-0.2393680696183268,0.446522287714677,0.0274468805107066,9.0,12.344319932606163,0.6955444123833636,1.103331617027851,1.6044283295801904,0.4158615002159286,-0.9188748361906852,-0.4307327854552011,-0.2498293672448744,0.601732104644985,-1.2720362330711354,-0.329091616365378,0.5953661876141795,0.3923760320965672,0.6902341041401504,0.5640252603625047
2020-04-06,AU,Tablets,0.1149344045767923,-0.2997166323681871,0.5752916919966697,-0.3704364450793607,7.0,6.027480069304165,1.5390894059646578,-0.2240853700045907,-0.283314773585123,0.4939463149874777,0.134954378462074,0.1603243420355012,0.2813152654492293,-0.130611797209612,0.38996375659558,-1.2784534806124477,0.9124507435689754,-0.8581532525077915,-1.1669725864897045,-0.3594571217133687
2020-04-06,AU,Watches,0.7477445648343828,-1.2541733580279135,0.8232017119908939,-0.0938111233113919,14.0,10.974738706414712,-0.6974114081406303,0.4358433394288913,-0.6087559920978793,-0.5867043928185596,0.8265119908835723,0.0351826675706687,0.2361238802427294,-1.9618591348886905,-1.5606770395353295,0.1093336172372464,-0.1482863881715414,-2.7859441558514457,1.149282386044307,-0.8037189184854144
2020-04-06,BR,Desktops,-0.1274532499315829,0.0492480985653347,1.0427341928639695,0.1076801044827618,12.0,6.725327176463399,0.3204604901700744,-0.1014487374494589,-0.6977797717608547,-1.183638634598859,-0.6289722254280586,0.0864159268834088,1.2730932590021409,-1.3703515672691686,0.8324177896888884,-0.6351902124128558,0.00983176598434,-0.6297282992288268,-0.3138928670787454,-0.7970540431256176
2020-04-06,BR,Laptops,-0.3163714691884682,0.6688692094506964,0.7622812878007813,-2.4422744501292657,4.0,3.36684822978833,-0.6313553275502188,0.4305118740362647,-0.0666578434770438,1.607683875553857,0.7013479988087687,-0.2453293207290389,-0.4403805453486539,-0.3172444751672541,-0.0353980333933797,0.6991769554208009,-0.7970989835540742,0.9563304520925946,-1.4024198782392134,0.843447591504313
2020-04-06,BR,Phones,0.4462315969935845,-0.6501718595896628,0.4186621982287021,1.34995058013241,7.0,3.361699155262083,-0.9769993475996954,0.0867730771563511,-1.403918610733328,1.1013689703396838,0.9226577455661734,0.0694298754501254,-1.414321790434989,2.1755063221328292,-0.2564690746253572,0.3079859843898291,-0.3998610228521915,1.1865227722491916,-0.1937432940478848,0.1778350160530629
2020-04-06,BR,Tablets,-0.9415421448553626,0.3189651269928041,-0.2649262450772734,-0.5146703058181702,5.0,3.325804055915418,-1.2896004014268805,-0.7496790330971329,0.5065697911588487,0.3061493341746805,0.7344698916342206,0.3967475774090688,0.1243032509756021,0.0323845733438548,0.4908196807904414,0.8391922643821274,1.4373030205390755,0.4130614664182538,1.3373901815044922,-0.4626388049969469
2020-04-06,BR,Watches,-1.883916369183696,1.2036744964726536,1.573470689863291,-1.0406168640744795,8.0,10.371269745076232,1.3731567447197823,-0.3900334692171419,-0.6486122722355034,-0.3341827821746064,0.283227643979409,-0.2736216689815179,0.5663263776384857,-1.4439023475262724,0.6354169036292531,0.1324791350898237,0.8178273891161658,1.536549838942389,-0.5332028271567507,-1.134136461175488
